publishedAt,title,description,url,source_name,topic,sentiment
2025-10-03, Mark Carney-launched Net-Zero Banking Alliance votes to shut down," ""Breaking News",  Sports,  Manitoba,National Development, https://www.winnipegfreepress.com/arts-and-life/life/greenpage/2025/10/03/mark-carney-launched-net-zero-banking-alliance-votes-to-shut-down
2025-10-07, How Mark Carney is complicating Canada's climate progress," ""From cancelling the 'carbon tax' to pausing the EV mandate","  Mark Carney's government is making sweeping changes to Canada's environmental rules""", https://thenarwhal.ca/mark-carney-climate-change-explainer/,National Development, National Development
2025-10-25, U of T creates emergency fund for researchers facing U.S. funding cuts, University of Toronto has created an emergency fund to support its researchers who are facing unexpected losses in funding due to cuts and policy changes at U.S. federal research agencies., https://www.cbc.ca/news/canada/toronto/university-of-toronto-research-funding-9.6953829, CBC News,National Development, Neutral
2025-10-26, Residents demonstrate against Port of Montreal expansion in Contrecoeur, Dozens of residents of a town northeast of Montreal where the Port of Montreal wants to expand capacity at a container facility say the project is unnecessary and harmful., https://www.cbc.ca/news/canada/montreal/port-of-montreal-expansion-contrecoeur-opponents-9.6954397, CBC News,National Development, Neutral
2025-10-28," ""'Extremely disappointed': Family of slain Kelowna",  B.C.,"  woman calls for action on intimate partner violence"""," ""The family of a woman killed in Kelowna",National Development,"  say they are """"extremely disappointed"""" in the B.C. NDP government for not supporting a federal private member's bill that aims to toughen charges and detention policies for those accused of intimate partner violen…"""
2025-10-30, Mark Carney needs to come clean on climate, The prime minister has been conspicuously quiet about an issue that seemed to define his politics before he entered the partisan arena. That needs to change., https://www.nationalobserver.com/2025/10/30/opinion/mark-carney-climate-policy-transparency, nationalobserver.com,National Development, Negative
2025-11-10, Carney says he will add to his 'living list' of nation-building projects on Thursday," ""Prime Minister Mark Carney says his government will announce its next batch of nation-building projects on Thursday in Prince Rupert","  B.C.""", https://nationalpost.com/news/politics/carney-says-he-will-add-to-his-living-list-of-nation-building-projects-on-thursday,National Development, National Development
2025-11-10, Diane Francis: Joining Eurovision nothing more than a Carney vanity project, There are more important things to spend Canadian public money on than a European song and dance competition. Find out more here, https://financialpost.com/diane-francis/diane-francis-joining-eurovision-a-carney-vanity-project, Financial Post,National Development, Negative
2025-11-11," ""New nation-building projects list to include mines", LNG," Iqaluit hydro: sources"""," ""Prime Minister Mark Carney is set to announce a second set of “nation-building projects",National Development, one for exporting natural gas
2025-11-12," ""Carney expected to add B.C. transmission line"," Quebec graphite mine to major projects list Thursday: source"""," ""The federal government’s Major Projects Office will add the planned North Coast Transmission Line in British Columbia and an expansion of the NM Graphite mine in Quebec to its list of nation-building developments"," Prime Minister Mark Carney is expected to ann…""",National Development, The Globe and Mail
2025-11-12, Long-delayed Sisson Mine in running for Carney’s national projects list," ""On Monday", during a visit to Fredericton, Prime Minister Mark Carney grinned at a question about a mine proposed for the province more than a decade ago,National Development," New Brunwickers will find out for sure whether it's on his list of nation-building proje…"""
2025-11-12, Major Electricity Transmission Line to Be Fast-Tracked by Carney," ""Prime Minister Mark Carney will name a major electricity transmission line in British Columbia to his list of nation-building projects eligible to be fast-tracked"," according to people familiar with the matter.""", https://financialpost.com/pmn/business-pmn/major-electricity-transmission-line-to-be-fast-tracked-by-carney,National Development, National Development
2025-11-13, Carney in B.C. to unveil next list of recommended nation-building projects," ""Prime Minister Mark Carney is in northern B.C. today to announce the latest slew of nation-building projects to be sent to the newly created Major Projects Office (MPO)"," which aims to fast-track infrastructure approvals.""", https://www.cbc.ca/news/politics/second-round-major-projects-nation-building-9.6976532,National Development, National Development
2025-11-13," ""What is Ksi Lisims LNG"," B.C. project being fast tracked by Feds?"""," ""TERRACE", BRITISH COLUMBIA,National Development, https://financialpost.com/pmn/what-is-ksi-lisims-lng-b-c-project-being-fast-tracked-by-feds
2025-11-13, New Brunswick’s Sisson Mine added to Ottawa’s list of ‘nation-building’ projects," ""FREDERICTON — New Brunswick Premier Susan Holt is holding a news availability on the heels of Prime Minister Mark Carney’s announcement of the latest group of projects being submitted for fast-tracking consideration. A tungsten mine in Sisson Brook", N.B.," is …""",National Development, Financial Post
2025-11-13," ""Churchill port expansion missing from new list of nation-building projects"," but news expected soon: Kinew"""," ""The proposed expansion of the Port of Churchill didn’t crack Ottawa’s newest list of major projects of “national importance","” but Manitoba’s premier says the project is moving ahead with the federal government’s help.""",National Development, CBC News
2025-11-13, Connecting critical mineral mines with clean electricity will power growth and competitiveness," ""New Economy Canada welcomes the Prime Minister’s focus on clean electricity as key to a sustainable and profitable economy Victoria", BC, Nov. 13,National Development, ON and NB
2025-11-14," ""Danielle Smith supportive of new major projects"," says pipeline negotiation ongoing"""," ""Prime Minister Mark Carney announced Thursday that seven additional major energy and infrastructure projects were being referred to his government's major projects office"," after announcing an initial list of five back in September.""",National Development, CBC News
2025-11-14, Where Carney’s latest major projects stand and what it will take to complete them," ""Prime Minister Mark Carney has unveiled the second round of projects to be considered for fast-track approval because of their perceived national importance. All the projects announced Thursday are related to energy and critical minerals mining"," resources tha…""", https://www.theglobeandmail.com/business/article-where-carneys-latest-major-projects-stand-and-what-it-will-take-to/,National Development, National Development
2025-11-14," ""Sisson Mine project is long overdue"," geologist says""", The Sisson Mine project in rural New Brunswick might finally get off the ground after Prime Minister Mark Carney named it as one of the country’s major projects on Thursday., https://www.cbc.ca/news/canada/new-brunswick/sisson-mine-project-is-long-overdue-geologist-says-9.6978522,National Development, National Development
2025-11-14, Major LNG terminal and gas pipeline headline Ottawa’s nation-building projects list," ""Ksi Lisims LNG is poised to become the country's second largest LNG export terminal"," on British Columbia's northwest coast. Read more""", https://financialpost.com/commodities/energy/oil-gas/lng-terminal-gas-pipeline-headline-ottawa-fast-track-list,National Development, National Development
2025-11-14, Carney’s ‘nation-building’ programme misses mark to be truly transformative for Canada," ""The $C56bn plan focused on investing in a resource economy falls short of changing Canadians’ day-to-day lives Canada’s prime minister Mark Carney likes to say that when he was young", “we used to build big things in this country," and we used to build them qu…""",National Development, The Guardian
2025-11-14," ""REM's Deux-Montagnes branch finally opens"," rides will be free all weekend""", The much anticipated branch of the REM connecting Deux-Montagnes to downtown Montreal will open after six years in the making., https://www.cbc.ca/news/canada/montreal/rem-s-deux-montagnes-branch-finally-opens-9.6978931,National Development, National Development
2025-11-14," ""There are plenty of ways for investors to play Carney's Round 2 of nation-building projects"," Scotiabank says"""," ""The Week in Stocks: Ways investors can play Mark Carney's national projects", TSX winners,National Development, https://financialpost.com/investing/there-are-plenty-of-ways-for-investors-to-play-carneys-round-2-of-nation-building-projects-scotiabank-says
2025-11-14, These are the TSX stocks analysts say are poised to gain from Carney’s Round 2 of nation-building projects," ""The Week in Stocks: Ways investors can play Mark Carney's national projects", TSX winners," losers and big names from earnings season. Read on""",National Development, Financial Post
2025-11-15, What will the federal government's Major Projects Office do — and will it succeed?, Prime Minister Mark Carney announced this week a second round of projects he's recommending get fast-tracked by his government's Major Projects Office (MPO) as part of his promise to reduce Canada’s economic reliance on the U.S. But there are still questions …, https://www.cbc.ca/news/politics/major-projects-office-carney-9.6979717, CBC News,National Development, Neutral
2025-11-15, How 4 different expansions are planned for Canada's largest oil export pipeline system," ""Enbridge is pursuing several expansions to export oil through its pipeline system"," which should meet the needs of the oil industry. So what does that mean for Alberta Premier Danielle Smith's lobbying for a new pipeline?""", https://www.cbc.ca/news/canada/calgary/bakx-enbridge-trans-mountain-wcs-alberta-oil-9.6979494,National Development, National Development
2025-11-16," ""What is Ksi Lisims LNG"," B.C. project being fast tracked by feds?""", The Ksi Lisims LNG facility in northern British Columbia and the North Coast Transmission Line that is planned to power it are among major projects that Prime Minister Mark Carney says will be reviewed for fast-track permitting and approval., https://www.cbc.ca/news/canada/british-columbia/ksi-lisims-lng-b-c-explainer-9.6979266,National Development, National Development
2025-11-16, Port of Churchill gets $51M in provincial money for rail line improvements, Manitoba is putting up $51 million in new funding to help upgrade the Hudson Bay Railway line as federal and provincial government officials were in Winnipeg Sunday to work toward the possibility of expanding the Port of Churchill., https://www.cbc.ca/news/canada/manitoba/port-of-churchill-rail-line-9.6980954, CBC News,National Development, Positive
2025-10-20," ""Building 500","000 homes annually within a decade an ‘ambitious’ target: Housing Minister"""," ""'That certainly will take many years to achieve", given the changes that need to be made in the industry,National Development, https://nationalpost.com/news/building-500000-homes-annually-within-a-decade-an-ambitious-target-housing-minister
2025-10-20, Canada urges pension funds to invest at home in age of ‘economic nationalism’, Canada is calling on its $3 trillion pension system to boost domestic investment as it seeks new financing to reboot the economy. Read more., https://financialpost.com/financial-times/canada-pension-funds-invest-economic-nationalism, Financial Post,National Development, Negative
2025-11-19, Feds open to First Nations ownership of new LNG, nationalobserver, https://www.nationalobserver.com/2025/11/19/news/ottawa-lng-ksi-lisims-first-nations, National Observer,National Development, Neutral
2025-11-19, B.C. government announces changes to EV mandate making it more ‘realistic’, globalnews, https://globalnews.ca/news/11532049/bc-government-changes-ev-mandate-more-realistic/, Global News,National Development, Neutral
2025-11-19, B.C. redrawing EV sales mandate scraps goal of 100% by 2035 leaves rebates to feds, cbc, https://www.cbc.ca/news/canada/british-columbia/bc-electric-vehicle-rebates-sales-mandates-9.6984032?cmp=rss, CBC News,National Development, Negative
2025-11-19, B.C. abandons EV rebates to the Feds as it scraps sales mandate of 100% by 2035, richmond-news, https://www.richmond-news.com/national-business/bc-abandons-ev-rebates-to-the-feds-as-it-scraps-sales-mandate-of-100-by-2035-11508158, Richmond News,National Development, Negative
2025-11-18, B.C. scraps EV sales mandate of 100% by 2035,  hands rebates to feds, https://globalnews.ca/news/11531585/bc-scraps-ev-sales-mandate-100-by-2035-hands-rebates-to-feds/, Global News,National Development, Negative
2025-11-17, OIL PIPELINE TO WEST COAST?: Danielle Smith’s deadline for Carney has passed, WATCH: Sun columnist Jay Goldberg on why Prime Minister Mark Carney needs to get moving with the major nation building projects Canada needs. What do YOU think? Tell us your thoughts in the comment section below or send us a Letter to the Editor for possible publication to torsun.editor@sunmedia.ca.  Letters must be 250 words or [&#8230;], https://torontosun.com/news/oil-pipeline-to-west-coast-danielle-smiths-deadline-for-carney-has-passed, torontosun,National Development, Negative
2025-11-16, Churchill project gains steam as Carney and Kinew unveil new funding and shared vision," ""A renewed federal-provincial alliance is pushing forward a major northern infrastructure plan centred on the Port of Churchill", with both Prime Minister Mark Carney and Manitoba Premier Wab Kinew framing the project as a once-in-a-generation nation-building effort. In a joint announcement," Carney and Kinew said work is accelerating on what’s being called Port of Churchill [&#8230;]""",National Development, winnipegsun
2025-11-14, New Brunswick mine added to major projects but opponents say it’ll do more harm than good," ""In New Brunswick", opponents of a mining project that made Prime Minister Mark Carney's nation-building projects say the proposal could do more harm than good,", https://globalnews.ca/news/11527004/sisson-mine-major-projects-concerns/, globalnews, National Development, Neutral",National Development,
