title, url, source_name, topic
In the news today: Major projects list updated budget infrastructure plan supported, https://winnipegsun.com/pmn/in-the-news-today-major-projects-list-updated-budget-infrastructure-plan-supported, winnipegsun, National Development
Carney calls 2nd batch of major projects ‘transformational’, https://globalnews.ca/news/11524145/carney-major-projects/, globalnews, National Development
Mark Carney unveils latest round of 'nation-building projects', https://torontosun.com/news/national/mark-carney-canada-nation-building-projects, torontosun, National Development
What is Ksi Lisims LNG B.C. project being fast tracked by Feds?, https://financialpost.com/pmn/what-is-ksi-lisims-lng-b-c-project-being-fast-tracked-by-feds, financialpost, National Development
B.C. power line and Ksi Lisims LNG added to federal government's major-projects list, https://financialpost.com/pmn/b-c-power-line-and-ksi-lisims-lng-added-to-federal-governments-major-projects-list, financialpost, National Development
New Brunswick's Sisson Mine added to Ottawa's list of 'nation-building' projects, https://globalnews.ca/news/11524707/sisson-mine-nation-building-projects/, globalnews, National Development
2 B.C. major projects on Mark Carney’s list for possible fast-track approval, https://globalnews.ca/news/11524927/2-bc-projects-mark-carney-list-major-projects-fast-track-approval/, globalnews, National Development
LILLEY: Mark Carney’s projects lag as U.S. investment surges, https://torontosun.com/opinion/columnists/carney-isnt-serious-on-major-projects-or-trade, torontosun, National Development
A look at the second batch of projects being weighed by the Major Projects Office, https://financialpost.com/pmn/a-look-at-the-second-batch-of-projects-being-weighed-by-the-major-projects-office, financialpost, National Development
Major projects list has some Indigenous support but more needed: Carney, https://globalnews.ca/news/11526079/indigenous-groups-support-mark-carney-major-projects/, globalnews, Indigenous Affairs
Mark Carney attends launch of new branch of Montreal-area light rail network, https://globalnews.ca/news/11526460/montreal-area-light-rail-network/, globalnews, Public Transportation
Canadian oil and gas producers applaud Ottawa’s latest major projects list, https://globalnews.ca/news/11526724/canada-major-projects-oil-and-gas-producers/, globalnews, National Development
