publishedAt,title,description,url,source_name,topic
2025-11-12,Bank of Canada Mulled Delaying Cut Until After Carney’s Budget,Bank of Canada officials discussed delaying a rate cut until they had more details about Prime Minister Mark Carney’s budget and US trade policy.,https://financialpost.com/pmn/business-pmn/bank-of-canada-mulled-delaying-cut-until-after-carneys-budget,Financial Post,Federal Budget
2025-11-12,"Carney expected to add B.C. transmission line, Quebec graphite mine to major projects list Thursday: source","The federal government’s Major Projects Office will add the planned North Coast Transmission Line in British Columbia and an expansion of the NM Graphite mine in Quebec to its list of nation-building developments, Prime Minister Mark Carney is expected to ann…",https://biztoc.com/x/c18f7efccbf6e274,Biztoc.com,National Development
2025-11-12,‘Begin Again’ Musical To Begin At San Diego’s Old Globe Theatre In 2026 With Eye On Broadway,"Begin Again, a new musical inspired by John Carney’s 2013 film starring Mark Ruffalo and Keira Knightley, has set a fall 2026 world premiere at San Diego’s The Old Globe theatre, its producers said Wednesday. The musical, first tipped back in 2023 when Train’…",http://deadline.com/2025/11/begin-again-musical-world-premiere-1236615457/,Deadline,
2025-11-12,Long-delayed Sisson Mine in running for Carney’s national projects list,"On Monday, during a visit to Fredericton, Prime Minister Mark Carney grinned at a question about a mine proposed for the province more than a decade ago, but on Thursday, New Brunwickers will find out for sure whether it's on his list of nation-building proje…",https://www.cbc.ca/news/canada/new-brunswick/nb-sisson-mine-running-for-carneys-national-projects-list-9.6976471,CBC News,National Development
2025-11-12,Canada Eyes Joining Eurovision,"Canada is a long way from Europe, but that isn't stopping it from trying to crack the Eurovision lineup. A surprise note in the nation's recent federal budget revealed that the government and CBC/Radio-Canada are exploring a bid to join the famously over-the-…",https://www.newser.com/story/378571/canada-eyes-joining-eurovision.html,Newser,Cultural Event
2025-11-12,Major Electricity Transmission Line to Be Fast-Tracked by Carney,"Prime Minister Mark Carney will name a major electricity transmission line in British Columbia to his list of nation-building projects eligible to be fast-tracked, according to people familiar with the matter.",https://financialpost.com/pmn/business-pmn/major-electricity-transmission-line-to-be-fast-tracked-by-carney,Financial Post,National Development
2025-11-12,Ottawa seeking a permanent parliamentary budget officer with 'tact and discretion',"Ottawa says it's looking to hire a permanent parliamentary budget officer — someone with ""tact and discretion"" — just a few months after appointing a critical fiscal watchdog on an interim basis.",https://www.cbc.ca/news/politics/parliamentary-budget-officer-job-posting-9.6976713,CBC News,Political Party Affair
2025-11-13,"As the planet gets warmer, some athletes have taken on a new role: climate advocates",Athletes who rely on the natural environment for their sport are seeing the impact of climate change up close. And many see a responsibility to advocate for change. Canadian athletes have called on the prime minister and the IOC to make climate a top priority.,https://www.cbc.ca/sports/olympics/winter/warming-weather-winter-sports-part-2-2025-9.6976726,CBC News,Unrelated News
2025-11-13,Carney in B.C. to unveil next list of recommended nation-building projects,"Prime Minister Mark Carney is in northern B.C. today to announce the latest slew of nation-building projects to be sent to the newly created Major Projects Office (MPO), which aims to fast-track infrastructure approvals.",https://www.cbc.ca/news/politics/second-round-major-projects-nation-building-9.6976532,CBC News,National Development
2025-11-13,"Oil pipeline not on Ottawa’s nation-building project list this time, Alberta confirms","An oil pipeline will not be in the latest round of major projects announced by Prime Minister Mark Carney today, Alberta confirms. Read on",https://financialpost.com/commodities/energy/oil-gas/pipeline-not-on-ottawa-nation-building-project-list-alberta-confirms,Financial Post,National Development
2025-11-13,Most Canadians Say US Trade Deal Unlikely in Next Six Months,"Canadians have little faith a trade deal with the US will be reached in the next six months, after US President Donald Trump blew up talks over an anti-tariff ad campaign launched by the province of Ontario.",https://financialpost.com/pmn/business-pmn/most-canadians-say-us-trade-deal-unlikely-in-next-six-months,Financial Post,Trade Disputes
2025-11-13,"Shawn Lamb's prison release has 'reopened the wound,' says sister of killer's victim",Paige Paupanakis initially went silent when the person on the phone said her sister's killer was being released from prison. Then the tears came in a surge.,https://www.cbc.ca/news/canada/manitoba/shawn-lamb-release-family-9.6977238,CBC News,Internal Affairs
2025-11-13,Nova Scotia 'recalibrating' its relationship with China as minister attends fisheries expo,Premier Tim Houston says a change in the dynamic between federal government officials for Canada and China has opened the door to Nova Scotia representatives beginning to resume closer ties with the province’s second-largest trading partner.,https://www.cbc.ca/news/canada/nova-scotia/china-lobster-seafood-exports-tariffs-kent-smith-tim-houston-9.6977898,CBC News,Trade Disputes
2025-11-13,Carney’s major projects patchwork leaves holes in our economic growth,Carney’s major projects patchwork leaves holes in our economic growththeglobeandmail.com,https://www.theglobeandmail.com/business/commentary/article-mark-carney-major-projects-patchwork-economic-growth/,The Globe And Mail,Political Commentary
2025-11-13,"What is Ksi Lisims LNG, B.C. project being fast tracked by Feds?","TERRACE, BRITISH COLUMBIA, CANADA — The Ksi Lisims LNG facility in northern British Columbia and the North Coast Transmission Line that is planned to power it are among major projects that Prime Minister Mark Carney says will be reviewed for fast-track permit…",https://financialpost.com/pmn/what-is-ksi-lisims-lng-b-c-project-being-fast-tracked-by-feds,Financial Post,National Development
2025-11-13,New Brunswick’s Sisson Mine added to Ottawa’s list of ‘nation-building’ projects,"FREDERICTON — New Brunswick Premier Susan Holt is holding a news availability on the heels of Prime Minister Mark Carney’s announcement of the latest group of projects being submitted for fast-tracking consideration. A tungsten mine in Sisson Brook, N.B., is …",https://financialpost.com/pmn/new-brunswicks-sisson-mine-added-to-ottawas-list-of-nation-building-projects,Financial Post,National Development
2025-11-13,"Churchill port expansion missing from new list of nation-building projects, but news expected soon: Kinew","The proposed expansion of the Port of Churchill didn’t crack Ottawa’s newest list of major projects of “national importance,” but Manitoba’s premier says the project is moving ahead with the federal government’s help.",https://www.cbc.ca/news/canada/manitoba/churchill-port-expansion-nation-building-future-9.6978033,CBC News,National Development
2025-11-13,"Saab CEO confirms talks with Ottawa, Bombardier for Gripen fighter jet production","Saab CEO confirms talks with Ottawa, Bombardier for Gripen fighter jet productiontheglobeandmail.com",https://www.theglobeandmail.com/business/article-saab-ceo-michael-johansson-gripen-fighter-jets-defence-canada/,The Globe And Mail,International Relations
2025-11-13,Connecting critical mineral mines with clean electricity will power growth and competitiveness,"New Economy Canada welcomes the Prime Minister’s focus on clean electricity as key to a sustainable and profitable economy Victoria, BC, Nov. 13, 2025 (GLOBE NEWSWIRE) — A new major transmission line in BC and mining projects in QC, ON and NB, are among the n…",https://financialpost.com/globe-newswire/connecting-critical-mineral-mines-with-clean-electricity-will-power-growth-and-competitiveness,Financial Post,National Development
2025-11-13,"Government spends $19B on external services, despite vow to trim spending",Government records show the federal government spent more than $19 billion on external professional and special services in 2024-25 — an increase of almost $2 billion since last year and of about $8.5 billion since 2020.,https://www.cbc.ca/news/politics/government-spending-outside-contractors-9.6978363,CBC News,Federal Budget
2025-11-14,"Danielle Smith supportive of new major projects, says pipeline negotiation ongoing","Prime Minister Mark Carney announced Thursday that seven additional major energy and infrastructure projects were being referred to his government's major projects office, after announcing an initial list of five back in September.",https://www.cbc.ca/news/canada/calgary/smith-major-projects-9.6978416,CBC News,National Development
2025-11-14,How to Measure Climate Progress,Try putting yourself in Bill Gates’s shoes. You could spend your days on what made you one of the world’s richest people while also deploying your wealth to do the most good. You could invest in for-profit ventures pursuing things like clean-energy breakthrou…,https://english.khabarhub.com/2025/14/505975/,Khabarhub.com,Unrelated News
2025-11-14,Where Carney’s latest major projects stand and what it will take to complete them,"Prime Minister Mark Carney has unveiled the second round of projects to be considered for fast-track approval because of their perceived national importance. All the projects announced Thursday are related to energy and critical minerals mining, resources tha…",https://biztoc.com/x/f8902179b658a750,Biztoc.com,National Development
2025-11-14,"Sisson Mine project is long overdue, geologist says",The Sisson Mine project in rural New Brunswick might finally get off the ground after Prime Minister Mark Carney named it as one of the country’s major projects on Thursday.,https://www.cbc.ca/news/canada/new-brunswick/sisson-mine-project-is-long-overdue-geologist-says-9.6978522,CBC News,National Development
2025-11-14,Major LNG terminal and gas pipeline headline Ottawa’s nation-building projects list,"Ksi Lisims LNG is poised to become the country's second largest LNG export terminal, on British Columbia's northwest coast. Read more",https://financialpost.com/commodities/energy/oil-gas/lng-terminal-gas-pipeline-headline-ottawa-fast-track-list,Financial Post,National Development
2025-11-14,Bolivia’s Turn From Socialist Rule,"Socialism may be on the rise in New York with the election of Zohran Mamdani, but the story is different elsewhere. People may be familiar with... Read More The post Bolivia’s Turn From Socialist Rule appeared first on The Daily Signal.",https://www.dailysignal.com/2025/11/14/bolivias-turn-from-socialist-rule/,Daily Signal,Unrelated News
2025-11-14,Carney’s ‘nation-building’ programme misses mark to be truly transformative for Canada,"The $C56bn plan focused on investing in a resource economy falls short of changing Canadians’ day-to-day lives Canada’s prime minister Mark Carney likes to say that when he was young, “we used to build big things in this country, and we used to build them qu…",https://biztoc.com/x/2c210251a910009b,Biztoc.com,Political Commentary
2025-11-14,"REM's Deux-Montagnes branch finally opens, rides will be free all weekend",The much anticipated branch of the REM connecting Deux-Montagnes to downtown Montreal will open after six years in the making.,https://www.cbc.ca/news/canada/montreal/rem-s-deux-montagnes-branch-finally-opens-9.6978931,CBC News,Cultural Event
2025-11-14,Canada Budget Watchdog Doubts Carney Can Fulfill Deficit Promise,Canada’s budget watchdog is skeptical Prime Minister Mark Carney’s government will fulfill one of its key fiscal pledges.,https://financialpost.com/pmn/business-pmn/canada-budget-watchdog-doubts-carney-can-fulfill-deficit-promise,Financial Post,Federal Budget
2025-11-14,"SF Sketchfest 2026 lineup: Kids in the Hall, Futurama, Nickelodeon’s ‘Doug’ reunion, The Women of SNL, more","The 2026 edition of SF Sketchfest happens January 15 to February 1 at stages all over San Francisco. As usual, the lineup is sprawling and amazing, including special events and tributes, sketch groups, improv, podcasts, standup, and more. Tickets go on sale S…",https://www.brooklynvegan.com/sf-sketchfest-2026-lineup-kids-in-the-hall-futurama-nickelodeons-doug-reunion-the-women-of-snl-more/,Brooklyn Vegan,Unrelated News
2025-11-14,"Energy stocks rise on major projects enthusiasm, while U.S. stock markets were mixed","TORONTO — Canada’s main stock index finished higher on Friday amid gains in energy stocks following more major projects announcements, while U.S. markets were mixed. Theresa Shutt, chief investment officer at Harbourfront Wealth Management, said gains in the …",https://financialpost.com/pmn/energy-stocks-rise-on-major-projects-enthusiasm-while-u-s-stock-markets-were-mixed,Financial Post,Unrelated News
2025-11-14,"There are plenty of ways for investors to play Carney's Round 2 of nation-building projects, Scotiabank says","The Week in Stocks: Ways investors can play Mark Carney's national projects, TSX winners, losers and big names from earnings season. Read on",https://financialpost.com/investing/there-are-plenty-of-ways-for-investors-to-play-carneys-round-2-of-nation-building-projects-scotiabank-says,Financial Post,National Development
2025-11-14,These are the TSX stocks analysts say are poised to gain from Carney’s Round 2 of nation-building projects,"The Week in Stocks: Ways investors can play Mark Carney's national projects, TSX winners, losers and big names from earnings season. Read on",https://financialpost.com/investing/tsx-stocks-gain-mark-carneys-nation-building-projects,Financial Post,National Development
2025-11-15,What will the federal government's Major Projects Office do — and will it succeed?,Prime Minister Mark Carney announced this week a second round of projects he's recommending get fast-tracked by his government's Major Projects Office (MPO) as part of his promise to reduce Canada’s economic reliance on the U.S. But there are still questions …,https://www.cbc.ca/news/politics/major-projects-office-carney-9.6979717,CBC News,National Development
2025-11-15,Carney heads to the UAE amid questions about atrocities in Sudan,"Prime Minister Mark Carney will travel to the United Arab Emirates next week, as both that country and Canada face questions over alleged links to actrocities in Sudan.",https://www.cbc.ca/news/world/sudan-uae-canada-carney-9.6976682,CBC News,International Relations
2025-11-15,How 4 different expansions are planned for Canada's largest oil export pipeline system,"Enbridge is pursuing several expansions to export oil through its pipeline system, which should meet the needs of the oil industry. So what does that mean for Alberta Premier Danielle Smith's lobbying for a new pipeline?",https://www.cbc.ca/news/canada/calgary/bakx-enbridge-trans-mountain-wcs-alberta-oil-9.6979494,CBC News,National Development
2025-11-15,Is Mark Carney's budget a Progressive Conservative budget?,"Attempting perhaps to turn a story about his own leadership into a story about whether the media have unfairly focused on Conservative dissent, Pierre Poilievre challenged reporters to pay as much attention to criticism levelled against the federal budget by …",https://www.cbc.ca/news/politics/carney-dentremont-poilievre-budget-analysis-9.6979682,CBC News,Political Commentary
2025-11-15,Liberals slammed for 'inaction' by gun control group ahead of Montreal massacre anniversary,"A well-known gun control group is telling Prime Minister Mark Carney it would be ""disingenuous and even hypocritical"" for Liberal MPs to wear white ribbons to mark the anniversary of the Montreal massacre given the government's lack of action on key firearm m…",https://www.cbc.ca/news/canada/montreal/polysesouvient-guns-canada-9.6980484,CBC News,Political Commentary
2025-11-16,New Democrats back Premier David Eby at party convention with 82 per cent support,"Premier David Eby has faced criticism within his party for his promise to fast-track resource projects and for the eight-week strike by the B.C. General Employees Union. Despite that, New Democrats backed his leadership with 82 per cent support at this weeken…",https://www.cbc.ca/news/canada/british-columbia/david-eby-endorsed-ndp-convention-9.6980643,CBC News,Unrelated News
2025-11-16,"What is Ksi Lisims LNG, B.C. project being fast tracked by feds?",The Ksi Lisims LNG facility in northern British Columbia and the North Coast Transmission Line that is planned to power it are among major projects that Prime Minister Mark Carney says will be reviewed for fast-track permitting and approval.,https://www.cbc.ca/news/canada/british-columbia/ksi-lisims-lng-b-c-explainer-9.6979266,CBC News,National Development
2025-11-16,Carney Searches for Votes to Pass Budget and Avoid Snap Election,Prime Minister Mark Carney’s government faces a decisive moment on Monday when Canada’s House of Commons votes on a proposed budget that would increase borrowing to spend on the military and infrastructure.,https://financialpost.com/pmn/business-pmn/carney-searches-for-votes-to-pass-budget-and-avoid-snap-election,Financial Post,Federal Budget
2025-11-16,Port of Churchill gets $51M in provincial money for rail line improvements,Manitoba is putting up $51 million in new funding to help upgrade the Hudson Bay Railway line as federal and provincial government officials were in Winnipeg Sunday to work toward the possibility of expanding the Port of Churchill.,https://www.cbc.ca/news/canada/manitoba/port-of-churchill-rail-line-9.6980954,CBC News,National Development
2025-11-17,Prime Minister Mark Carney met with cheers and boos at 112th Grey Cup game,"Breaking News, Sports, Manitoba, Canada",https://www.winnipegfreepress.com/canada/2025/11/16/prime-minister-mark-carney-met-with-cheers-and-boos-at-112th-grey-cup-game,winnipegfreepress.com,Cultural Event
2025-11-17,REM service for Deux-Montagnes branch begins today,"Before the line went into service today, workers protested this weekend to denounce their working conditions.",https://www.cbc.ca/news/canada/montreal/rem-deux-montagnes-new-line-9.6980322,CBC News,Cultural Event
2025-11-17,Swedish royals head to Canada as country lobbies for a slice of defence spending,"The Swedish royal family is paying a rare, three-day state visit to Canada this week, bringing with them a delegation of top government ministers and representatives from dozens of Swedish companies.",https://toronto.citynews.ca/2025/11/17/swedish-royals-head-to-canada-as-country-lobbies-for-a-slice-of-defence-spending/,Citynews.ca,International Relations
2025-10-20,The Embarrassing Demotion of Europe,How the continent became a second-class citizen on the global stage.,http://foreignpolicy.com/2025/10/20/europe-trump-nato-power-diplomacy-tariffs/,Foreign Policy,Unrelated News
2025-10-20,"Building 500,000 homes annually within a decade an ‘ambitious’ target: Housing Minister","'That certainly will take many years to achieve, given the changes that need to be made in the industry,' said Housing Minister Gregor Robertson.",https://nationalpost.com/news/building-500000-homes-annually-within-a-decade-an-ambitious-target-housing-minister,National Post,National Development
2025-10-20,"German, Norwegian Ministers Court Canadian Submarine Order Worth Billions",Germany and Norway’s defense ministers are meeting their Canadian counterpart Monday to push for Thyssenkrupp Marine Systems to win a multibillion-dollar submarine contract.,https://financialpost.com/pmn/business-pmn/german-norwegian-ministers-court-canadian-submarine-order-worth-billions,Financial Post,International Relations
2025-10-20,Canada to form financial crimes agency to tackle online scams,"The Government of Canada has announced plans to form the country’s first-ever financial crimes agency in an effort to combat online scams. Announced as part of a broader “Anti-Fraud Strategy,” the government says this agency will “bring together the required …",https://mobilesyrup.com/2025/10/20/canada-financial-crimes-agency-online-scams/,MobileSyrup,National Development
2025-10-20,Canada urges pension funds to invest at home in age of ‘economic nationalism’,Canada is calling on its $3 trillion pension system to boost domestic investment as it seeks new financing to reboot the economy. Read more.,https://financialpost.com/financial-times/canada-pension-funds-invest-economic-nationalism,Financial Post,
2025-10-20,Hollywood’s Latest Drama Is All Of The Fake Props Flooding The Market,"“From Dorothy’s ruby slippers in The Wizard of Oz to Harry Potter wands, props from iconic films are earning big dollars at both auction and private sales — in some cases on par with rare wine, Swiss watches and fine art.” – Los Angeles Times (MSN)",https://www.washingtonpost.com/entertainment/2025/10/19/she-spurned-concertmasters-advance-now-shes-classical-musics-metoo-vigilante/,The Washington Post,Unrelated News
2025-10-20,Poilievre calls on Carney to keep federal deficit under $42B in next month's budget,Conservative Leader Pierre Poilievre is demanding that Prime Minister Mark Carney cut taxes and keep the federal deficit under $42 billion in the coming budget.,https://www.nationalobserver.com/2025/10/20/news/poilievre-calls-carney-keep-federal-deficit-under-42b-next-months-budget,National Observer,Federal Budget
2025-10-20,Canada Shows How to Neutralize Trump’s Trade Attacks,Ottawa’s latest reforms are a blueprint for Washington’s victims around the world.,http://foreignpolicy.com/2025/10/20/canada-carney-trump-trade-attacks-america/,Foreign Policy,Trade Disputes
2025-10-20,"Why U.S. investors are eyeing the Canadian oilpatch, even as oil prices dip","There's growing interest in the Canadian oilpatch coming from south of the border. Experts say the trend is driven in part by a shift in political rhetoric in this country, along with better economics for the Canadian oilpatch compared with the U.S.",https://www.cbc.ca/news/canada/calgary/us-investors-canada-oilpatch-9.6942475,CBC News,National Development
2025-10-20,Ontario's legislature back for a short session as economic storm clouds loom,"Ontario’s legislature returns today for what some experts say will be a short, but packed session, as economic storm clouds swirl over the province and questions linger about a multi-billion dollar skills fund.",https://www.cbc.ca/news/canada/toronto/ontario-legislature-returns-today-9.6942763,CBC News,Federal Budget
2025-10-20,Wang Yi Holds Talks with Canadian Foreign Minister Anita Anand,"On October 17, 2025, Member of the Political Bureau of the CPC Central Committee and Foreign Minister Wang Yi held talks with Canadian Foreign Minister Anita Anand in Beijing.",https://www.globalsecurity.org/wmd/library/news/china/2025/10/china-251017-prc-mofa01.htm,Globalsecurity.org,International Relations
2025-10-20,The World Puts EVs In Reverse,"In January, when the Trump Administration reduced electric vehicle subsidies, environmentalists confidently asserted that the rest of the world would reject such an approach. Now, nine months later, it seems everyone is following his lead. In Canada, Prime Mi…",https://freerepublic.com/focus/f-news/4347415/posts,Freerepublic.com,Unrelated News
2025-10-19,"Fact-checking Trump’s claim that each boat strike off Venezuela’s coast saves 25,000 lives","President Donald Trump said U.S. military strikes on five Venezuelan boats have saved more than 100,000 lives because the maneuvers thwarted drug smuggling. Several aspects of Trump’s statement make it wrong.",https://www.pbs.org/newshour/politics/fact-checking-trumps-claim-that-each-boat-strike-off-venezuelas-coast-saves-25000-lives,PBS,Unrelated News
2025-10-19,B.C. premier ruling out new retaliatory action against U.S. softwood lumber tariffs,"B.C. Premier David Eby is ruling out new retaliatory measures against the United States after it slapped an additional tariff on softwood lumber, but the B.C. government will maintain countermeasures already in place.",https://www.cbc.ca/news/politics/david-eby-softwood-lumber-tariff-u-s-9.6944478,CBC News,Trade Disputes
2025-10-19,Is Canada's F-35 review irritating the United States? McGuinty suggests it's a 'misnomer',Defence Minister David McGuinty says the question of irritants in Canada-U.S. defence talks is “maybe a bit of a misnomer” and the two countries are working together on shared initiatives like integrated air missile defence systems.,https://www.cbc.ca/news/politics/mcguinty-f35-review-american-irritants-9.6944096,CBC News,International Relations
2025-10-19,Minister Anand meets with China's Director of the Office of the Central Commission for Foreign Affairs and Minister of Foreign Affairs Wang Yi,"Today, the Honourable Anita Anand, Minister of Foreign Affairs, met with China's Foreign Minister, Wang Yi, to advance bilateral relations following 55 years since diplomatic ties were established between Canada and China.",https://www.globalsecurity.org/wmd/library/news/canada/2025/canada-251017-canada01.htm,Globalsecurity.org,International Relations
2025-11-19,Carney heads to Abu Dhabi as alarm grows over possible UAE role in Sudan's civil war,kamloopsthisweek,https://www.castanet.net/news/Canada/584815/Carney-heads-to-Abu-Dhabi-as-alarm-grows-over-possible-UAE-role-in-Sudan-s-civil-war,Kamloops This Week,International Relations
2025-11-19,Feds open to First Nations ownership of new LNG,nationalobserver,https://www.nationalobserver.com/2025/11/19/news/ottawa-lng-ksi-lisims-first-nations,National Observer,Indigenous Affairs
2025-11-19,Joly accuses PQ leader of steering Quebec toward Trump with U.S. outreach,globalnews,https://globalnews.ca/news/11531923/joly-accuses-pq-quebec-trump/,Global News,Internal Affairs
2025-11-19,B.C. government announces changes to EV mandate making it more ‘realistic’,globalnews,https://globalnews.ca/news/11532049/bc-government-changes-ev-mandate-more-realistic/,Global News,Climate Policies
2025-11-19,B.C. redrawing EV sales mandate scraps goal of 100% by 2035 leaves rebates to feds,cbc,https://www.cbc.ca/news/canada/british-columbia/bc-electric-vehicle-rebates-sales-mandates-9.6984032?cmp=rss,CBC News,Climate Policies
2025-11-19,B.C. abandons EV rebates to the Feds as it scraps sales mandate of 100% by 2035,richmond-news,https://www.richmond-news.com/national-business/bc-abandons-ev-rebates-to-the-feds-as-it-scraps-sales-mandate-of-100-by-2035-11508158,Richmond News,Climate Policies
2025-11-18,B.C. scraps EV sales mandate of 100% by 2035, hands rebates to feds,globalnews,https://globalnews.ca/news/11531585/bc-scraps-ev-sales-mandate-100-by-2035-hands-rebates-to-feds/,Climate Policies
2025-11-19,Minister Joly accuses PQ of wanting to “throw” Quebec into Trump’s arms,ctvnews,https://www.ctvnews.ca/montreal/article/minister-joly-accuses-pq-of-wanting-to-throw-quebec-into-trumps-arms/,ctvnews,Internal Affairs
2025-11-18,What’s Next for Carney Government After Surviving Budget Vote,theepochtimes,https://www.theepochtimes.com/world/whats-next-for-carney-government-after-surviving-budget-vote-5946671,Epoch Times,Political Commentary
2025-11-18,The ‘Ferrarification’ Of Porsche Triggered A $300 Million Dealer Lawsuit,headtopics,https://us.headtopics.com/news/the-ferrarification-of-porsche-triggered-a-300-million-76014697,Headtopics.com,Unrelated News
2025-11-19,Carney heads to U.A.E. hoping to sign investment pact with gulf nation,"Prime Minister Mark Carney is slated to meet with United Arab Emirates President Sheikh Mohamed bin Zayed Al Nahyan in Abu Dhabi with the explicit focus on expanding the Canada-U.A.E. economic partnership in key sectors such as energy, agriculture, infrastructure and AI.",https://www.cbc.ca/news/politics/carney-united-arab-emirates-9.6981480,CBC.ca,International Relations
2025-11-19,Mark Carney crazy to consider replacing F-35s with Saab jets,"If the Carney government cancels its contract to purchase 88 F-35 jets in favour of the Swedish Gripen jet, it will cost jobs. Read more.",https://torontosun.com/opinion/columnists/carney-foolish-to-consider-replacing-f35s,Toronto Sun,Political Commentary
2025-11-18,"Why two NDP MPs abstained from the federal budget vote, and what comes next","Prime Minister Mark Carney’s first budget was passed on Monday in the House of Commons by a narrow vote. Interim NDP Leader Don Davies explains why they couldn't back the budget, and what he says the government should do next.",https://www.cbc.ca/radio/asithappens/ndp-abstained-from-budget-9.6983105,CBC.ca,Federal Budget
2025-11-18,"How the Conservatives helped pass Carney's budget, avoiding an election","Minutes before time ran out on Monday's budget vote, two senior Conservatives swooped into the chamber claiming their electronic voting app wasn't working and declared they wanted to vote against Prime Minister Mark Carney's first budget.",https://www.cbc.ca/news/politics/conservatives-helped-pass-carney-budget-9.6983603,CBC.ca,Federal Budget
2025-11-18,Carney off to the United Arab Emirates tonight before heading to G20 summit,OTTAWA — Prime Minister Mark Carney is travelling to the United Arab Emirates tonight before making his way to South Africa for the G20 Leaders’ Summit later this week.,https://www.baytoday.ca/national-news/carney-off-to-the-united-arab-emirates-tonight-before-heading-to-g20-summit-11507712,BayToday,International Relations
2025-11-18,"MPs pass Carney budget, avoid holiday election","Prime Minister Mark Carney’s minority Liberal government narrowly survived its third confidence vote in as many weeks on Monday, passing the federal budget by a vote of 170-168 and staving off a holiday election.",https://www.bnnbloomberg.ca/business/politics/2025/11/18/minority-liberals-narrowly-survive-high-stakes-confidence-vote-fending-off-holiday-election/,Bnn Bloomberg,Federal Budget
2025-11-19,Mark Carney’s Failing Grade,"Somehow, the Canadian PM has managed to blow past even Trudeau’s last spending estimate.",https://www.nationalreview.com/2025/11/mark-carneys-failing-grade/,nationalreview,Political Commentary
2025-11-19,"In the news today: PM travelling to UAE, alert system test, HBC art auction","Here is a roundup of stories from The Canadian Press designed to bring you up to speed&#8230; Carney heads to Abu Dhabi for investment talks Prime Minister Mark Carney is on his way to Abu Dhabi today, making him the first Canadian prime minister to visit the United Arab Emirates since 1983. His visit comes [&#8230;]",https://winnipegsun.com/pmn/in-the-news-today-pm-travelling-to-uae-alert-system-test-hbc-art-auction,winnipegsun,International Relations
2025-11-18,Prime Minister Mark Carney departs for another overseas trip,"PM will meet leaders in UAE, attend G20 summit in South Africa",https://torontosun.com/news/national/pm_another_trip,torontosun,International Relations
